REF_DOC / PO	Ship Date	LT Return
GSC PO	06/03/2026	06/07/2026
GSC PO	06/02/2026	06/06/2026
4700911904	06/01/2026	06/05/2026
4700913815	06/01/2026	06/05/2026
4700913815	06/01/2026	06/05/2026
4700913815	06/01/2026	06/05/2026
4700913815	06/01/2026	06/05/2026
4700913815	06/01/2026	06/05/2026
4700913815	06/01/2026	06/05/2026
4700912902	06/01/2026	06/05/2026
4700912698	06/01/2026	06/05/2026
4700912698	06/01/2026	06/05/2026
4700912698	06/01/2026	06/05/2026
4700912698	06/01/2026	06/05/2026
4700912698	06/01/2026	06/05/2026
4700912698	06/01/2026	06/05/2026
4700912698	06/01/2026	06/05/2026
4700911916	06/01/2026	06/05/2026
4700912755	06/01/2026	06/05/2026
4700912755	06/01/2026	06/05/2026
4700912755	06/01/2026	06/05/2026
4700912755	06/01/2026	06/05/2026
4700915449	05/31/2026	06/04/2026
4700915449	05/31/2026	06/04/2026
4700915449	05/31/2026	06/04/2026
4700915449	05/31/2026	06/04/2026
4700915449	05/31/2026	06/04/2026
4700911916	05/31/2026	06/04/2026
4700911826	05/31/2026	06/04/2026
4700915229	05/31/2026	06/04/2026
4700913282	05/31/2026	06/04/2026
GSC PO	05/31/2026	06/04/2026
4700915204	05/30/2026	06/03/2026
4700915449	05/30/2026	06/03/2026
4700915449	05/30/2026	06/03/2026
4700911916	05/30/2026	06/03/2026
4700911916	05/30/2026	06/03/2026
4700911916	05/30/2026	06/03/2026
4700911916	05/30/2026	06/03/2026
4700916355	05/30/2026	06/03/2026
4700916356	05/30/2026	06/03/2026
4700915629	05/30/2026	06/03/2026
4700916355	05/29/2026	06/02/2026
4700913815	05/29/2026	06/02/2026
4700915449	05/29/2026	06/02/2026
4700915449	05/29/2026	06/02/2026
4700915449	05/29/2026	06/02/2026
4700915449	05/29/2026	06/02/2026
4700915449	05/29/2026	06/02/2026
4700915449	05/29/2026	06/02/2026
4700915449	05/29/2026	06/02/2026
4700915449	05/29/2026	06/02/2026
4700911916	05/29/2026	06/02/2026
4700911916	05/29/2026	06/02/2026
4700911916	05/29/2026	06/02/2026
4700911916	05/29/2026	06/02/2026
4700911916	05/29/2026	06/02/2026
4700915329	05/29/2026	06/02/2026
4700915329	05/29/2026	06/02/2026
4700915329	05/29/2026	06/02/2026
4700915329	05/29/2026	06/02/2026
4700915329	05/29/2026	06/02/2026
4700915329	05/29/2026	06/02/2026
4700915329	05/29/2026	06/02/2026
4700915329	05/29/2026	06/02/2026
4700915329	05/29/2026	06/02/2026
4700915329	05/29/2026	06/02/2026
4700915329	05/29/2026	06/02/2026
4700915329	05/29/2026	06/02/2026
4700915329	05/29/2026	06/02/2026
4700915329	05/29/2026	06/02/2026
4700915329	05/29/2026	06/02/2026
4700915329	05/29/2026	06/02/2026
4700915329	05/29/2026	06/02/2026
4700915329	05/29/2026	06/02/2026
4700915329	05/29/2026	06/02/2026
4700915329	05/29/2026	06/02/2026
4700915329	05/29/2026	06/02/2026
4700915329	05/29/2026	06/02/2026
4700915329	05/29/2026	06/02/2026
4700915329	05/29/2026	06/02/2026
4700915329	05/29/2026	06/02/2026
4700915329	05/29/2026	06/02/2026
4700915329	05/29/2026	06/02/2026
4700915329	05/29/2026	06/02/2026
4700915329	05/29/2026	06/02/2026
4700915329	05/29/2026	06/02/2026
4700915329	05/29/2026	06/02/2026
4700915329	05/29/2026	06/02/2026
4700915329	05/29/2026	06/02/2026
4700915329	05/29/2026	06/02/2026
4700915329	05/29/2026	06/02/2026
4700915329	05/29/2026	06/02/2026
4700915329	05/29/2026	06/02/2026
4700915329	05/29/2026	06/02/2026
4700915329	05/29/2026	06/02/2026
4700915329	05/29/2026	06/02/2026
4700915329	05/29/2026	06/02/2026
